キーワード,出現回数
情報,94
整備,62
測量,52
点,48
地理,46
災害,46
基準,46
衛星,43
国土,41
化,40
補正,37
空間,37
位置,37
-,36
地図,34
５,33
変動,33
電子,32
実施,32
次元,31
３,29
的,28
活用,27
地殻,26
６,25
.,25
•,25
高,24
観測,23
防災,22
データ,21
対策,21
",",20
案,19
火山,19
標高,18
提供,18
貢献,18
こと,17
監視,17
GNSS,17
精度,17
図,16
調査,16
5,16
迅速,16
把握,16
効果,16
推進,15
1,14
取組,13
‣,13
p,13
2,13
対応,13
環境,13
測位,13
院,12
社会,12
減,12
災,12
内容,12
空中,12
写真,12
さ,12
基本,11
強化,11
地域,11
浸水,11
サービス,11
),11
デジタル,10
SAR,10
正確,10
水準,10
利用,10
(,10
準,9
利,9
基盤,9
変化,9
効率,9
更新,9
地形,9
時,9
維持,9
航空,9
解析,9
地震,9
成果,9
高度,8
ライブラリー,8
天頂,8
4,8
国家,8
検討,8
7,8
離島,8
向上,8
実現,8
自動,8
各種,8
可能,8
公共,8
推定,8
リスク,8
自然,7
安全,7
我が国,7
3,7
整合,7
座標,7
VLBI,7
頻度,7
機能,7
全国,7
運用,7
地球,7
安定,7
管理,7
活動,7
被災,7
状況,7
県,7
0,6
国民,6
体制,6
国際,6
強靱,6
軌道,6
技術,6
２,6
ド,6
ローン,6
必要,6
ICT,6
施工,6
局,6
開発,6
日本,6
避難,6
レーザ,6
分類,6
・,6
活,6
市,6
激甚,5
寄与,5
活火山,5
シミュレーション,5
運転,5
533,5
取得,5
方向,5
量,5
電波,5
ほか,5
109,5
基礎,5
復旧,5
用,5
性,5
１,5
三角,5
断層,5
関係,4
頻発,4
経済,4
民間,4
体系,4
づくり,4
国内外,4
全,4
解像度,4
加速,4
AI,4
抽出,4
撮影,4
64,4
上,4
網,4
GPS,4
国内,4
目的,4
設置,4
年,4
重要,4
不可欠,4
地表,4
促進,4
速やか,4
よう,4
ALOS,4
マグマ,4
住民,4
:,4
発生,4
場合,4
事前,4
精緻,4
復興,4
収集,4
閲覧,4
４,3
７,3
生命,3
保障,3
充実,3
発展,3
形成,3
以下,3
重点的,3
機,3
改定,3
6,3
か年,3
8,3
ベース・レジストリ,3
独自,3
作成,3
画像,3
箇所,3
確保,3
建物,3
支援,3
詳細,3
DX,3
号機,3
信号,3
スマート,3
農業,3
物流,3
評価,3
仕組み,3
導入,3
プレート,3
運動,3
海外,3
継続,3
機器,3
全て,3
手法,3
いち,3
号,3
検出,3
の,3
リアルタイム,3
機関,3
REGARD,3
周辺,3
有効,3
計画,3
装置,3
意識,3
人口,3
集中,3
航空機,3
道路,3
指定,3
カメラ,3
小型,3
アンテナ,3
耐,3
9,3
中央,3
施設,3
A,3
B,3
規模,3
測地,3
連続,3
川,3
備え,3
．,2
億,2
対,2
前年度,2
比,2
99,2
暮らし,2
G,2
建設,2
地,2
全体,2
生成,2
175,2
現実,2
ツイン,2
車,2
運営,2
今後,2
195,2
予定,2
変更,2
改修,2
44,2
近年,2
登録,2
性能,2
21,2
水平,2
決定,2
10,2
分,2
どこ,2
容易,2
空,2
天体,2
系,2
構築,2
自転,2
算出,2
145,2
面,2
影響,2
62,2
事業,2
行政,2
財産,2
94,2
ソフト,2
局所,2
者,2
研究,2
予測,2
噴火,2
想定,2
照射,2
知見,2
早期,2
上昇,2
システム,2
機動,2
表示,2
他,2
的確,2
交通,2
規制,2
緊急,2
被害,2
時間,2
プログラム,2
情,2
報,2
152,2
バッテリー,2
電源,2
739,2
救助,2
豪雨,2
範囲,2
津波,2
前,2
後,2
状態,2
地物,2
それら,2
インフラ,2
124,2
合計,2
471,2
757,2
714,2
144,2
80,2
167,2
129,2
38,2
111,2
499,2
612,2
878,2
292,2
586,2
847,2
591,2
256,2
427,2
230,2
197,2
161,2
102,2
59,2
706,2
173,2
658,2
125,2
12,2
871,2
135,2
13,2
協,2
働,2
原点,2
三,2
インターネット,2
配信,2
熊本,2
安心,2
降水,2
可,2
国,2
区,2
省,2
差,2
大,2
土地,2
本来,2
01,2
地方,2
資料,2
主要,2
平野,2
帯,2
溶岩,2
流,2
神,2
島,2
場所,2
ラ,2
当初,1
８,1
倍,1
９,1
持続,1
健全,1
伝,1
４つ,1
役割,1
一体,1
2028,1
他国,1
はじめ,1
755,1
580,1
再現,1
最適,1
開,1
発,1
地名,1
時期,1
エリア,1
考慮,1
運行,1
597,1
げ,1
仕様,1
ソフトウェア,1
提,1
開始,1
時々刻々,1
自律,1
(=,1
ズレ,1
実,1
連,1
続,1
急速,1
追加,1
航路,1
結果,1
計算,1
準拠,1
クルマ,1
69,1
はるか,1
彼方,1
姿勢,1
唯一,1
老朽,1
総合,1
点検,1
重力,1
最大限,1
基,1
中,1
紐付,1
紐,1
市場,1
拡大,1
視野,1
手続,1
ハード,1
両面,1
これ,1
以外,1
困難,1
)),1
本部,1
メカニズム,1
推移,1
HP,1
スキャン,1
150,1
146,1
検知,1
地下,1
版,1
イメージ,1
急激,1
活発,1
際,1
膨張,1
源,1
66,1
水害,1
概況,1
水,1
同時,1
多発,1
広範囲,1
被,1
害,1
初動,1
まち,1
排水,1
ポンプ,1
配置,1
停電,1
支障,1
停止,1
IoT,1
⾧期,1
傾向,1
事態,1
解消,1
供,1
給,1
ソーラー,1
パネル,1
内蔵,1
低減,1
明確,1
未,1
月,1
群,1
ピンク色,1
地区,1
迂回,1
路,1
能力,1
様子,1
比較,1
取捨選択,1
捜索,1
関連,1
査定,1
大幅,1
検査,1
保守,1
品質,1
総括,1
表,1
単位,1
区分,1
+,1
137,1
767,1
370,1
ＡＩ,1
618,1
408,1
210,1
整,1
備,1
628,1
616,1
経費,1
536,1
563,1
973,1
庁,1
一括,1
計上,1
358,1
18,1
緯度,1
経度,1
仮想,1
融合,1
課題,1
解決,1
両立,1
Society,1
もの,1
下,1
石岡,1
速度,1
時刻,1
必須,1
領海,1
EEZ,1
外縁,1
根拠,1
再,1
経緯,1
度,1
対空,1
標識,1
西之島,1
南,1
排他,1
水域,1
保全,1
GEONET,1
出典,1
qzss,1
go,1
jp,1
米国,1
グロ,1
ナス,1
ロシア,1
ガリ,1
レオ,1
ＥＵ,1
つくば,1
平成,1
28,1
2016,1
ベクトル,1
気象庁,1
予報,1
11,1
領土,1
明示,1
着実,1
河川,1
都市,1
集,1
D,1
規,1
格,1
統,1
C,1
一,1
護岸,1
それぞれ,1
特,1
土砂,1
新,1
創出,1
イノベーション,1
生活,1
視覚,1
認識,1
南海,1
トラフ,1
特別,1
措置,1
法,1
期間,1
2015,1
06,1
2021,1
03,1
進行,1
km,1
Analysis,1
by,1
GSI,1
from,1
raw,1
data,1
of,1
JAXA,1
上下,1
微小,1
動き,1
搬型,1
鹿児島,1
口永良部島,1
石川,1
能登,1
地盤,1
沈下,1
政府,1
会議,1
科学,1
資本,1
存在,1
対象,1
小学校,1
堤防,1
安永,1
町,1
種別,1
火口,1
洪水,1
崖,1
土石流,1
地滑り,1
旧,1
河,1
道,1
昭和,1
氾濫,1
奈奈,1
川崎,1
崎,1
三重重県県桑桑名名市市,1
熊,1
本県,1
県人,1
人吉,1
吉,1
鹿,1
鹿児,1
児島,1
桜,1
桜島,1
潜在,1
身,1
まわり,1
ルート,1
確認,1
流通,1
様々,1
検索,1
入手,1
統合,1
ライブ,1
ラリー,1
過去,1
団体,1
図面,1
保管,1
検,1
索,1
理,1
ウェブ,1
閲,1
間,1
覧,1
イ,1
ブ,1
インター,1
ネット,1
リ,1
ー,1
入,1
手,1
ダウンロード,1
窓口,1
謄抄,1
本,1
交付,1
その他,1
利便,1
重複,1
類似,1
不要,1
業務,1
14,1
